"creditScore","houseAge","yearsEmploy","ccDebt","year","default"
691,16,9,6725,2000,0
691,4,4,5077,2000,0
743,18,3,3080,2000,0
728,22,1,4345,2000,0
745,17,3,2969,2000,0
539,15,3,4588,2000,0
724,6,5,4057,2000,0
659,14,3,6456,2000,0
621,18,3,1861,2000,0
720,14,7,4568,2000,0
756,32,3,5245,2000,0
642,25,5,6907,2000,0
719,22,7,4023,2000,0
677,18,5,505,2000,0
683,22,3,1143,2000,0
708,32,2,5864,2000,0
754,13,6,5375,2000,0
719,23,6,5109,2000,0
586,28,4,5737,2000,0
629,21,7,8049,2000,0
690,26,1,7120,2000,0
687,17,5,0,2000,0
594,29,7,3897,2000,0
696,29,4,5617,2000,0
730,17,5,5967,2000,0
697,14,6,6325,2000,0
689,20,9,6839,2000,0
807,22,8,5440,2000,0
761,25,6,7193,2000,0
632,25,4,4714,2000,0
693,29,6,1800,2000,0
727,16,3,4667,2000,0
716,23,7,5833,2000,0
671,19,5,4184,2000,0
732,12,6,6864,2000,0
634,3,4,4957,2000,0
716,14,3,1481,2000,0
686,6,8,1659,2000,0
693,16,1,4148,2000,0
765,27,7,3114,2000,0
692,22,6,4385,2000,0
748,27,6,6498,2000,0
679,7,6,6851,2000,0
725,7,0,4479,2000,0
711,26,8,7955,2000,0
699,27,7,4819,2000,0
695,20,5,5114,2000,0
694,35,2,7532,2000,0
643,23,0,3695,2000,0
703,25,7,4760,2000,0
681,23,5,7052,2000,0
651,15,4,1086,2000,0
578,13,6,1498,2000,0
707,24,5,4077,2000,0
729,31,3,3900,2000,0
727,14,7,6241,2000,0
717,22,1,5514,2000,0
658,24,1,6389,2000,0
744,21,4,8667,2000,0
689,10,3,5458,2000,0
691,32,6,7328,2000,0
736,27,8,5524,2000,0
696,27,2,8307,2000,0
613,14,9,5141,2000,0
690,9,3,7187,2000,0
740,13,4,6261,2000,0
766,18,5,6312,2000,0
731,28,7,3878,2000,0
676,14,2,4731,2000,0
598,32,5,2520,2000,0
658,10,2,6216,2000,0
673,27,5,1685,2000,0
709,27,3,6487,2000,0
701,21,6,9183,2000,0
617,20,4,4842,2000,0
692,14,6,6898,2000,0
729,22,3,2100,2000,0
731,22,5,5115,2000,0
775,23,6,3218,2000,0
645,23,2,7736,2000,0
730,15,6,4908,2000,0
627,26,4,5596,2000,0
625,7,11,4431,2000,0
649,14,6,2490,2000,0
655,17,3,7283,2000,0
698,29,2,5808,2000,0
655,18,3,6010,2000,0
708,19,1,9232,2000,0
716,27,8,5331,2000,0
746,19,4,6001,2000,0
726,16,6,4803,2000,0
767,20,9,8108,2000,0
737,21,7,4937,2000,0
620,10,5,2775,2000,0
616,32,5,3543,2000,0
693,15,6,7602,2000,0
583,30,0,6047,2000,0
703,20,4,2538,2000,0
697,27,1,10583,2000,0
762,15,2,4528,2000,0
774,4,6,77,2000,0
649,10,4,2036,2000,0
679,33,7,5109,2000,0
768,17,3,5034,2000,0
724,33,6,8359,2000,0
674,28,4,3310,2000,0
721,10,3,4061,2000,0
709,22,6,4779,2000,0
671,27,5,3395,2000,0
670,30,6,4934,2000,0
795,24,1,4149,2000,0
641,29,5,2183,2000,0
736,15,6,5645,2000,0
679,27,4,4010,2000,0
737,22,4,4462,2000,0
735,22,6,6196,2000,0
676,24,3,3782,2000,0
659,20,1,6331,2000,0
752,18,6,7136,2000,0
645,6,2,6504,2000,0
726,22,5,7383,2000,0
725,10,7,4649,2000,0
690,25,3,4672,2000,0
676,22,6,2604,2000,0
790,18,3,4780,2000,0
699,13,8,10714,2000,0
701,12,6,4280,2000,0
700,14,3,6266,2000,0
793,13,4,7229,2000,0
665,18,3,3536,2000,0
739,28,2,2201,2000,0
705,25,6,10873,2000,0
689,15,5,4461,2000,0
673,11,5,4571,2000,0
648,25,2,1910,2000,0
761,15,7,5419,2000,0
739,30,4,3778,2000,0
824,1,5,2463,2000,0
612,12,0,4751,2000,0
690,13,6,7380,2000,0
636,10,5,6929,2000,0
740,23,5,4687,2000,0
683,20,6,5521,2000,0
677,11,8,6140,2000,0
681,25,2,4901,2000,0
704,22,4,1626,2000,0
698,20,3,5879,2000,0
658,30,1,3867,2000,0
720,12,7,4562,2000,0
675,32,3,8298,2000,0
600,18,5,5828,2000,0
690,25,10,5238,2000,0
605,28,7,6032,2000,0
731,25,4,3512,2000,0
613,21,6,4654,2000,0
732,21,9,5179,2000,0
634,15,8,4734,2000,0
676,16,6,3289,2000,0
707,20,5,5410,2000,0
687,19,4,3766,2000,0
679,12,3,4322,2000,0
782,21,11,3837,2000,0
693,14,4,7097,2000,0
652,24,6,4705,2000,0
677,22,3,4170,2000,0
592,20,3,4361,2000,0
702,12,5,4263,2000,0
692,27,7,3967,2000,0
726,15,5,2691,2000,0
695,13,6,3707,2000,0
621,17,5,4243,2000,0
778,13,6,6264,2000,0
629,27,5,6322,2000,0
683,20,8,4844,2000,0
672,12,5,2025,2000,0
736,26,4,5221,2000,0
766,19,7,2160,2000,0
686,21,4,4330,2000,0
610,18,7,2906,2000,0
708,14,6,5915,2000,0
706,22,6,4171,2000,0
642,8,6,3969,2000,0
698,33,6,3847,2000,0
657,16,5,5226,2000,0
621,25,3,4050,2000,0
724,14,9,6367,2000,0
602,21,5,5598,2000,0
