"creditScore","houseAge","yearsEmploy","ccDebt","year","default"
701,23,2,3661,2009,0
683,12,5,3384,2009,0
705,30,5,3210,2009,0
769,13,5,2843,2009,0
741,11,7,1532,2009,0
731,14,4,5302,2009,0
723,20,3,4231,2009,0
728,15,6,3191,2009,0
694,23,6,4553,2009,0
726,3,4,4097,2009,0
710,21,5,4371,2009,0
673,29,6,4129,2009,0
692,11,2,2726,2009,0
641,34,3,7005,2009,0
713,7,7,5519,2009,0
694,25,7,6937,2009,0
751,19,5,3839,2009,0
619,19,0,3894,2009,0
665,11,4,6146,2009,0
631,4,5,3621,2009,0
684,33,6,6968,2009,0
659,18,5,6488,2009,0
649,17,9,7219,2009,0
644,24,7,7277,2009,0
612,21,6,2488,2009,0
683,20,4,5906,2009,0
749,25,6,3936,2009,0
579,12,6,5621,2009,0
626,26,3,6324,2009,0
693,20,5,6906,2009,0
740,15,7,133,2009,0
677,22,3,2873,2009,0
697,13,5,1731,2009,0
714,30,6,5438,2009,0
726,34,7,6676,2009,0
616,11,4,3623,2009,0
678,26,6,6127,2009,0
731,9,6,8160,2009,0
654,14,8,7656,2009,0
774,26,5,5154,2009,0
659,26,5,3567,2009,0
710,15,0,7527,2009,1
735,17,7,445,2009,0
691,12,6,6364,2009,0
706,15,2,6347,2009,0
725,5,7,5786,2009,0
703,27,7,7432,2009,0
668,13,5,9071,2009,0
738,20,5,10469,2009,1
682,17,3,4754,2009,0
754,29,5,6176,2009,0
763,19,6,6401,2009,0
597,36,4,5339,2009,0
718,32,4,2634,2009,0
719,18,8,5505,2009,0
670,17,6,4391,2009,0
790,16,5,2857,2009,0
631,24,5,8537,2009,0
781,23,6,3579,2009,0
740,14,5,7702,2009,0
761,16,6,1046,2009,0
704,24,3,3407,2009,0
594,19,4,2759,2009,0
693,17,6,4005,2009,0
669,18,7,3844,2009,0
673,13,3,5302,2009,0
690,22,5,3551,2009,0
624,34,5,4612,2009,0
733,8,2,2318,2009,0
667,13,6,5430,2009,0
684,31,2,12182,2009,1
683,22,5,4210,2009,0
733,21,8,3392,2009,0
643,14,3,2187,2009,0
758,18,6,3284,2009,0
741,26,7,5572,2009,0
690,24,4,6828,2009,0
720,15,3,4995,2009,0
622,19,4,8925,2009,1
642,11,7,5431,2009,0
658,13,4,5047,2009,0
750,25,6,4968,2009,0
708,17,8,4531,2009,0
779,31,4,6897,2009,0
825,21,10,6729,2009,0
699,26,1,3798,2009,0
711,4,4,4686,2009,0
701,33,7,2394,2009,0
738,19,6,4662,2009,0
577,30,6,6457,2009,0
726,20,6,5790,2009,0
687,19,4,8921,2009,0
701,22,5,4945,2009,0
704,31,2,3159,2009,0
662,24,1,6129,2009,0
677,19,6,3817,2009,0
736,32,4,5578,2009,0
709,19,3,4910,2009,0
691,9,3,4740,2009,0
721,17,5,7318,2009,0
740,16,4,8950,2009,0
697,20,5,2896,2009,0
759,32,5,7250,2009,0
697,13,8,5587,2009,0
698,8,10,7550,2009,0
715,5,4,4493,2009,0
607,9,3,6899,2009,0
708,29,3,6107,2009,0
629,27,2,7868,2009,1
719,33,2,6954,2009,0
656,22,7,5488,2009,0
627,20,7,3088,2009,0
700,11,4,3794,2009,0
667,8,6,1622,2009,0
678,18,6,8776,2009,0
741,20,4,5565,2009,0
730,28,5,7959,2009,1
692,27,5,5629,2009,0
720,8,1,4677,2009,0
606,20,7,2571,2009,0
708,8,0,1313,2009,0
718,22,4,3887,2009,0
644,16,3,7020,2009,0
706,16,6,8602,2009,0
705,24,7,5110,2009,0
662,36,6,3198,2009,0
695,14,8,4119,2009,0
713,10,5,5230,2009,0
740,11,3,3560,2009,0
688,18,3,5622,2009,0
692,14,2,5072,2009,0
655,27,2,5810,2009,1
665,21,3,7374,2009,0
650,28,3,6290,2009,0
719,30,5,1100,2009,0
634,20,5,5994,2009,0
677,24,3,7926,2009,1
684,14,6,4762,2009,0
713,19,4,11621,2009,1
746,19,5,4365,2009,0
664,20,7,8214,2009,0
718,26,5,5696,2009,0
682,24,6,3929,2009,0
666,26,5,1767,2009,0
718,9,7,9496,2009,0
680,12,2,4941,2009,0
707,25,5,7136,2009,0
757,13,7,4042,2009,0
743,30,6,6637,2009,0
741,25,5,7461,2009,0
693,26,8,5621,2009,0
731,27,7,6592,2009,0
709,22,4,6541,2009,0
614,18,8,6539,2009,0
692,29,6,7941,2009,0
748,6,9,4912,2009,0
691,24,3,5227,2009,0
624,20,2,5943,2009,0
773,33,7,9655,2009,0
719,7,8,7960,2009,0
765,14,5,1604,2009,0
676,27,4,3946,2009,0
