"creditScore","houseAge","yearsEmploy","ccDebt","year","default"
722,7,8,2843,2007,0
734,17,10,3427,2007,0
633,19,4,8725,2007,0
677,18,11,4457,2007,0
672,28,2,7061,2007,0
684,15,1,2023,2007,0
595,6,5,4465,2007,0
627,18,3,4586,2007,0
758,20,8,3623,2007,0
679,28,6,5045,2007,0
580,22,2,4780,2007,0
776,10,8,4800,2007,0
665,15,1,3798,2007,0
711,23,6,2781,2007,0
709,23,3,4567,2007,0
740,17,2,4704,2007,0
751,19,2,3844,2007,0
724,12,7,8219,2007,0
686,10,6,747,2007,0
722,22,4,1382,2007,0
672,28,1,7064,2007,0
637,18,5,3430,2007,0
684,27,6,4758,2007,0
739,15,8,4079,2007,0
755,27,0,5570,2007,0
629,3,3,6467,2007,0
633,15,7,4715,2007,0
640,15,10,3325,2007,0
696,21,1,7460,2007,0
725,19,6,5188,2007,0
754,13,7,7207,2007,0
666,21,5,7064,2007,0
711,28,4,2343,2007,0
633,21,5,7277,2007,0
756,7,8,4846,2007,0
761,14,6,3737,2007,0
700,13,9,5169,2007,0
675,22,4,5339,2007,0
710,24,4,6707,2007,0
636,15,5,4312,2007,0
696,21,7,1094,2007,0
734,23,4,4282,2007,0
622,38,8,2423,2007,0
739,17,5,6411,2007,0
657,15,6,3475,2007,0
781,18,3,3192,2007,0
679,16,3,7112,2007,0
677,25,7,5648,2007,0
709,17,4,5567,2007,0
634,6,7,3511,2007,0
672,11,4,8681,2007,0
712,37,6,7369,2007,0
727,32,3,8802,2007,0
667,31,8,2354,2007,0
654,17,5,4730,2007,0
670,15,7,4363,2007,0
680,15,5,4765,2007,0
676,31,4,4652,2007,0
637,24,7,6476,2007,0
715,7,6,7676,2007,0
718,3,3,5793,2007,0
674,22,7,2127,2007,0
638,0,9,5695,2007,0
665,20,5,3753,2007,0
728,13,8,4434,2007,0
694,12,3,4514,2007,0
794,34,4,6125,2007,0
667,31,4,7634,2007,0
720,19,8,3187,2007,0
831,30,7,6832,2007,0
752,4,0,8065,2007,0
777,8,2,5287,2007,0
744,27,4,1542,2007,0
632,13,4,5639,2007,0
683,28,5,4019,2007,0
714,21,3,6564,2007,0
690,3,4,4633,2007,0
717,10,5,7841,2007,0
686,15,3,2622,2007,0
713,24,3,7045,2007,0
616,10,6,4418,2007,0
627,19,4,7609,2007,0
746,14,3,3633,2007,0
696,29,3,4947,2007,0
757,13,4,5246,2007,0
739,30,7,3542,2007,0
817,18,6,0,2007,0
718,26,7,2759,2007,0
704,12,6,3897,2007,0
713,17,2,5298,2007,0
658,14,4,6417,2007,0
675,21,4,5950,2007,0
659,19,4,2485,2007,0
780,18,5,6208,2007,0
616,23,5,6856,2007,0
658,19,7,1668,2007,0
649,22,5,999,2007,0
677,15,2,5156,2007,0
721,36,6,4349,2007,0
614,27,3,7304,2007,0
739,38,5,6542,2007,0
659,28,4,5877,2007,0
749,20,6,6267,2007,0
728,39,5,3821,2007,0
726,24,3,1984,2007,0
691,9,7,3148,2007,0
706,10,4,5617,2007,0
688,13,3,7802,2007,0
770,0,7,281,2007,0
677,23,4,6536,2007,0
699,18,7,8269,2007,0
745,35,4,5977,2007,0
744,10,2,3435,2007,0
662,22,6,8664,2007,0
738,27,6,3732,2007,0
661,20,6,3464,2007,0
676,28,6,8754,2007,0
661,24,6,5524,2007,0
629,20,8,4506,2007,0
702,23,6,5967,2007,0
633,16,4,6381,2007,0
670,18,5,8035,2007,0
718,15,7,6320,2007,0
799,18,3,6984,2007,0
776,22,2,4370,2007,0
652,15,5,5151,2007,0
690,15,7,3514,2007,0
674,20,5,5396,2007,0
654,21,6,4735,2007,0
768,27,8,5600,2007,0
710,13,5,4875,2007,0
707,13,5,9252,2007,0
665,21,3,2354,2007,0
789,31,5,6865,2007,0
750,24,8,4660,2007,0
706,13,7,3295,2007,0
704,32,3,3422,2007,0
763,25,5,5475,2007,0
793,22,4,2347,2007,0
550,31,4,1471,2007,0
787,20,4,3431,2007,0
687,24,7,1461,2007,0
698,18,10,3237,2007,0
791,4,5,3652,2007,0
694,17,6,7256,2007,0
721,24,8,2719,2007,0
683,14,2,6058,2007,0
569,18,3,4689,2007,0
701,20,6,2958,2007,0
672,24,9,5887,2007,0
723,19,7,4290,2007,0
772,3,5,5496,2007,0
686,17,3,1358,2007,0
735,10,9,6211,2007,0
635,23,5,2712,2007,0
761,27,5,4975,2007,0
662,21,5,3622,2007,0
725,20,1,8991,2007,0
664,36,6,4034,2007,0
763,26,3,2715,2007,0
724,27,7,1345,2007,0
687,26,5,5118,2007,0
717,26,2,6219,2007,0
689,19,4,5892,2007,0
692,20,7,4085,2007,0
720,16,6,5453,2007,0
702,23,4,5135,2007,0
780,28,6,5120,2007,0
671,16,9,5914,2007,0
687,31,7,4269,2007,0
817,7,7,4024,2007,0
674,23,9,4134,2007,0
719,17,9,3754,2007,0
665,17,1,6903,2007,0
716,7,5,8037,2007,0
659,22,6,454,2007,0
786,9,5,5145,2007,0
674,24,4,4072,2007,0
715,10,6,4206,2007,0
730,31,5,6041,2007,0
729,12,5,4842,2007,0
710,15,4,6844,2007,0
638,19,4,4303,2007,0
781,19,2,5153,2007,0
643,29,5,5930,2007,0
677,23,7,6471,2007,0
670,24,8,3074,2007,0
654,19,5,1463,2007,0
719,14,7,657,2007,0
685,16,8,2994,2007,0
603,18,6,6766,2007,0
628,27,5,7066,2007,0
736,22,3,6481,2007,0
764,16,4,7129,2007,0
697,20,3,4906,2007,0
698,28,7,5237,2007,0
681,24,6,5298,2007,0
744,18,4,3673,2007,0
658,12,9,3807,2007,0
712,19,3,6110,2007,0
677,33,6,7878,2007,0
682,16,3,4157,2007,0
691,20,5,3826,2007,0
699,17,5,4781,2007,0
657,7,6,5270,2007,0
746,16,4,5135,2007,0
756,5,4,7919,2007,0
641,11,4,4970,2007,0
695,16,8,4118,2007,0
714,31,1,4163,2007,0
719,11,7,5905,2007,0
648,17,4,6844,2007,0
761,19,7,3014,2007,0
641,13,6,5923,2007,0
788,20,3,6708,2007,0
624,9,6,3336,2007,0
804,34,6,1509,2007,0
672,17,7,5417,2007,0
686,15,7,6625,2007,0
773,27,3,6036,2007,0
745,15,3,6284,2007,0
694,23,3,4385,2007,0
801,22,0,4924,2007,0
662,10,6,4756,2007,0
679,7,2,2235,2007,0
670,25,4,9968,2007,1
744,26,5,3952,2007,0
678,36,6,2367,2007,0
780,24,6,4480,2007,0
702,18,4,6248,2007,0
660,28,6,5153,2007,0
677,22,3,5268,2007,0
773,18,6,4510,2007,0
743,4,4,1756,2007,0
653,31,4,5789,2007,0
713,20,5,6236,2007,0
816,20,4,4014,2007,0
765,27,5,5751,2007,0
707,18,5,4892,2007,0
712,14,5,7416,2007,0
725,24,2,3938,2007,0
612,28,0,3847,2007,0
670,4,4,6087,2007,0
700,14,5,4158,2007,0
576,5,5,3060,2007,0
708,22,5,3181,2007,0
670,20,4,4891,2007,0
750,20,8,7524,2007,0
734,17,3,4513,2007,0
726,24,8,5702,2007,0
651,11,7,2511,2007,0
611,35,4,4551,2007,0
630,23,6,717,2007,0
720,24,7,10232,2007,0
673,33,4,2738,2007,0
630,16,6,6699,2007,0
764,29,3,6111,2007,0
730,35,5,1907,2007,0
748,23,5,5937,2007,0
705,14,6,7426,2007,0
651,22,7,3155,2007,0
739,27,7,5218,2007,0
670,19,9,6235,2007,0
692,33,7,6134,2007,0
652,21,2,6045,2007,0
618,18,3,5285,2007,0
646,20,7,7378,2007,0
773,17,1,5263,2007,0
707,30,8,5583,2007,0
642,23,5,4942,2007,0
669,12,8,5184,2007,0
696,27,9,1339,2007,0
735,19,8,3357,2007,0
670,22,4,3035,2007,0
664,20,3,367,2007,0
752,20,3,4357,2007,0
683,14,8,5395,2007,0
659,20,6,5069,2007,0
639,22,6,5085,2007,0
653,21,7,4072,2007,0
665,30,1,6356,2007,0
687,19,6,4965,2007,0
750,17,6,5641,2007,0
656,31,5,4521,2007,0
741,18,5,5767,2007,0
739,8,7,4010,2007,0
704,5,11,4172,2007,0
761,24,5,6569,2007,0
598,15,8,3975,2007,0
642,16,3,2468,2007,0
683,13,6,4223,2007,0
702,17,5,6048,2007,0
682,15,7,7966,2007,0
689,12,3,5524,2007,0
734,19,6,2409,2007,0
770,27,4,4210,2007,0
731,30,9,11208,2007,0
697,16,8,7490,2007,0
646,21,5,7975,2007,0
727,11,3,5044,2007,0
723,20,3,6361,2007,0
749,10,4,3227,2007,0
689,18,5,5108,2007,0
800,15,5,6859,2007,0
746,26,5,8602,2007,0
752,6,5,5938,2007,0
652,31,6,8873,2007,0
736,14,8,5515,2007,0
651,20,1,6577,2007,0
695,37,4,8292,2007,0
769,4,9,3654,2007,0
765,27,5,4352,2007,0
836,22,4,7347,2007,0
749,29,6,2749,2007,0
672,9,4,8408,2007,0
691,30,5,5698,2007,0
695,12,6,4594,2007,0
698,32,4,5711,2007,0
761,13,4,2254,2007,0
669,31,5,7477,2007,0
761,19,6,1372,2007,0
723,20,6,3627,2007,0
733,25,4,3797,2007,0
631,10,5,10421,2007,0
