"creditScore","houseAge","yearsEmploy","ccDebt","year","default"
690,16,6,3475,2006,0
703,22,5,4611,2006,0
751,20,8,2903,2006,0
697,13,5,8915,2006,0
741,25,4,5695,2006,0
716,27,7,4816,2006,0
657,21,9,8093,2006,0
738,12,6,7914,2006,0
691,22,6,2697,2006,0
642,30,5,3107,2006,0
782,26,5,1738,2006,0
724,17,7,2454,2006,0
659,19,6,4987,2006,0
742,28,6,6539,2006,0
664,15,2,4935,2006,0
688,23,5,5032,2006,0
642,14,1,5430,2006,0
812,22,5,1662,2006,0
798,12,7,5264,2006,0
680,16,3,2451,2006,0
716,19,1,5806,2006,0
713,18,2,0,2006,0
756,11,6,4600,2006,0
657,3,7,7562,2006,0
717,20,6,2740,2006,0
690,17,5,5676,2006,0
617,9,3,8168,2006,0
707,12,4,3828,2006,0
652,29,5,1396,2006,0
623,32,4,3850,2006,0
647,20,6,7086,2006,0
533,29,9,7300,2006,0
719,22,6,5572,2006,0
711,21,6,8024,2006,0
639,25,3,142,2006,0
706,25,4,5585,2006,0
797,35,7,7070,2006,0
714,30,3,6055,2006,0
733,16,2,6388,2006,0
684,21,0,8280,2006,0
696,21,3,4688,2006,0
727,26,6,6499,2006,0
696,25,2,5342,2006,0
588,22,4,2411,2006,0
693,21,7,6607,2006,0
743,14,5,5937,2006,0
717,20,4,5473,2006,0
777,27,4,2977,2006,0
717,39,4,3782,2006,0
748,11,5,2093,2006,0
718,27,1,6071,2006,0
645,34,5,5828,2006,0
644,20,8,6121,2006,0
688,22,6,3940,2006,0
676,20,5,5758,2006,0
728,16,4,5021,2006,0
696,21,4,5789,2006,0
723,15,8,4232,2006,0
680,10,11,4695,2006,0
669,1,1,1770,2006,0
750,26,7,9994,2006,0
792,19,5,7560,2006,0
721,24,2,6854,2006,0
696,11,8,4266,2006,0
722,21,3,7036,2006,0
639,37,3,4866,2006,0
702,10,3,1107,2006,0
684,17,7,4046,2006,0
766,11,5,5178,2006,0
701,18,2,8391,2006,0
658,11,3,7745,2006,0
662,23,10,7314,2006,0
662,9,10,4354,2006,0
688,31,6,1648,2006,0
773,6,4,1802,2006,0
632,11,6,4595,2006,0
757,23,3,6356,2006,0
743,20,2,7418,2006,0
727,19,4,4358,2006,0
721,15,8,5592,2006,0
665,12,4,3884,2006,0
705,18,5,5970,2006,0
698,17,7,2824,2006,0
703,17,8,7700,2006,0
775,25,4,6095,2006,0
625,18,3,2271,2006,0
700,9,2,2599,2006,0
729,20,8,4938,2006,0
710,26,2,4021,2006,0
660,18,5,4350,2006,0
701,35,4,3764,2006,0
713,24,6,8724,2006,0
777,3,5,5473,2006,0
648,18,5,3032,2006,0
706,22,8,5493,2006,0
792,10,6,5841,2006,0
663,26,4,5998,2006,0
622,33,3,2666,2006,0
768,35,6,3845,2006,0
656,15,9,7026,2006,0
690,18,4,2061,2006,0
699,18,4,3658,2006,0
751,17,6,2207,2006,0
612,16,5,4298,2006,0
726,14,3,3990,2006,0
612,21,5,4581,2006,0
697,19,7,5415,2006,0
672,19,6,4957,2006,0
704,28,3,2500,2006,0
723,9,1,5602,2006,0
721,20,4,5372,2006,0
641,20,5,4195,2006,0
691,14,6,6575,2006,0
644,20,5,6824,2006,0
680,30,5,3401,2006,0
689,20,3,6486,2006,0
632,24,3,5176,2006,0
759,23,3,4510,2006,0
752,20,4,7949,2006,0
793,23,1,3008,2006,0
634,10,6,5165,2006,0
794,26,3,5680,2006,0
751,10,4,7563,2006,0
654,21,6,2723,2006,0
729,7,5,5973,2006,0
691,14,2,3969,2006,0
681,21,6,7173,2006,0
702,17,6,5586,2006,0
684,0,3,2770,2006,0
671,9,5,4993,2006,0
692,13,7,5804,2006,0
759,18,8,6787,2006,0
692,12,4,8836,2006,0
710,16,5,2034,2006,0
704,24,6,5478,2006,0
660,29,9,5187,2006,0
631,17,8,5142,2006,0
746,34,4,3720,2006,0
659,36,5,3843,2006,0
683,19,7,5371,2006,0
716,14,5,5184,2006,0
